price,title,availability,product_code,images,link
12999, Ноутбук ACER Aspire 3 A315-34 (NX.HE3EU.05C) , Є в наявності ,Код товару: 512435,"[""https://img.moyo.ua/img/products/5124/35_1500.jpg?1671625173"", ""https://img.moyo.ua/img/gallery/5124/35/1342477_middle.jpg?1643982787"", ""https://img.moyo.ua/img/gallery/5124/35/1342478_middle.jpg?1643982787"", ""https://img.moyo.ua/img/gallery/5124/35/1342479_middle.jpg?1643982788"", ""https://img.moyo.ua/img/gallery/5124/35/1342480_middle.jpg?1643982788"", ""https://img.moyo.ua/img/gallery/5124/35/1342481_middle.jpg?1643982788"", ""https://img.moyo.ua/img/gallery/5124/35/1342482_middle.jpg?1643982788"", ""https://img.moyo.ua/img/gallery/5124/35/1342483_middle.jpg?1643982788"", ""https://img.moyo.ua/img/gallery/5124/35/1342484_middle.jpg?1643982788"", ""https://img.moyo.ua/img/gallery/5124/35/1342485_middle.jpg?1643982788"", ""https://img.moyo.ua/img/products/5124/35_96.jpg?1671625173""]",https://www.moyo.ua/ua/noutbuk_acer_aspire_3_a315-34_nx_he3eu_05c_/512435.html
9299, Пральна машина Beko WUE6511XSW , Є в наявності ,Код товару: 452462,"[""https://img.moyo.ua/img/products/4524/62_1500.jpg?1671625173"", ""https://img.moyo.ua/img/gallery/4524/62/1069171_middle.jpg?1614095511"", ""https://img.moyo.ua/img/gallery/4524/62/1069170_middle.jpg?1614095511"", ""https://img.moyo.ua/img/gallery/4524/62/1069167_middle.jpg?1614095511"", ""https://img.moyo.ua/img/gallery/4524/62/1069173_middle.jpg?1614095511"", ""https://img.moyo.ua/img/gallery/4524/62/1069168_middle.jpg?1614095511"", ""https://img.moyo.ua/img/gallery/4524/62/1069169_middle.jpg?1614095511"", ""https://img.moyo.ua/img/gallery/4524/62/1069174_middle.jpg?1614095511"", ""https://img.moyo.ua/img/products/4524/62_96.jpg?1671625173""]",https://www.moyo.ua/ua/stiralnaya_mashina_beko_wue6511xsw/452462.html
